,Country,year,GWP_Imports,GWP_Exports,Employment_pba,GWP_pba,ValueAdded_pba
15,IT,2001,298532477726.0,98591184800.0,21524.995166,401049384189.0,1303039.69791
16,LT,2001,10349873826.1,5041302950.76,1469.8,20403103624.1,13664.1340831
17,LU,2001,8120214114.93,4470824206.64,173.8,6372699033.85,23751.9299201
18,LV,2001,10153458468.7,3460385947.51,984.2,11369165285.6,9324.47075823
19,MT,2001,2725508921.06,1022742577.63,149.497380315,2493263217.07,4540.45442414
20,NL,2001,149881125534.0,93053289508.8,7651.41688003,185139699228.0,481475.618714
21,PL,2001,84959856336.9,77578929243.4,14952.9383692,345010174714.0,213159.32731
22,PT,2001,40801102615.8,12718812356.0,5058.6,63514735675.3,135660.788585
23,RO,2001,18137404811.5,26542200143.2,10792.3999833,98265849953.4,45463.5204245
24,SE,2001,68727548699.1,23599817687.2,4285.5,58405951684.4,270650.973187
25,SI,2001,10382146986.3,5246046843.42,919.1,14683066327.3,23310.4815577
26,SK,2001,27688489850.7,11524823361.7,2178.9,39168224613.2,23906.198267
27,GB,2001,372897005596.0,145297666406.0,28361.2,532571345067.0,1829793.5764
28,US,2001,1517673571110.0,533774012946.0,139174.0,5017633754270.0,11815343.9035
29,JP,2001,530634972336.0,181783305855.0,66646.0,1064246610280.0,4805206.094
30,CN,2001,332290162938.0,815898489450.0,561639.1,4309826023510.0,1495534.35097
31,CA,2001,138323008252.0,237547889763.0,15085.5244859,565564180362.0,825151.458142
32,KR,2001,178584721995.0,126142787056.0,21184.0,451755089068.0,611496.524079
33,BR,2001,89497006554.2,113668544846.0,75019.3,754542534791.0,626112.967297
34,IN,2001,105434028431.0,226992425469.0,368966.0,1587265251240.0,547854.851112
35,MX,2001,136394676077.0,71085284982.5,37891.4,413997761064.0,844911.70801
36,RU,2001,125761073094.0,849209513584.0,65068.1,1667424887140.0,344797.713944
